A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,Monto,Fraude
0,17,18296,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,26.92,43.44,1
0,14,6026,0,0,0,0,0,0,UY,,0,2,1,0,4,0.00,0.00,12.06,27.69,1
0,15,,0,1,0,0,0,0,UY,0.36,0,3,1,0,4,0.00,0.00,16.26,50.09,1
1,6,21948,0,0,0,0,0,0,UY,,1,1,1,0,1,505.80,0.00,67.58,835.77,1
0,7,20346,0,0,0,0,0,0,UY,0.84,0,3,1,0,5,0.00,0.00,9.82,31.35,1
0,2,,0,0,0,0,0,0,UY,,0,6,1,0,1,0.00,0.00,29.93,707.90,1
0,17,50338,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,13.05,575.69,1
0,10,209153,0,0,0,0,0,0,UY,,3,3,3,0,4,0.00,0.00,25.68,32.40,1
0,11,448836,0,1,0.007,0,0,0,UY,,0,1,1,0,7,0.00,0.00,15.66,23.50,1
0,12,5469,0,1,0.007,0,0,0,UY,,0,1,1,0,7,0.00,0.00,27.41,15.65,1
0,15,8484,0,0,0,0,0,0,UY,0.49,1,1,1,0,1,575.69,0.00,3.88,35.33,1
0,10,2242,0,1,0.25,0,0,0,UY,,0,2,1,0,7,0.00,0.00,44.05,39.77,1
2,6,6971,0,0,0,0,0,0,UY,0.66,0,2,1,0,3,0.00,0.00,50.68,14.87,1
1,6,448698,0,0,0,0,0,0,UY,0.66,0,2,1,0,3,0.00,0.00,46.95,14.60,1
0,17,12723,1,0,0,0.058,0,0,UY,,0,1,1,0,2,0.00,0.00,24.10,80.03,1
0,12,59871,0,0,0,0,0,0,UY,0.56,0,1,1,0,2,0.00,0.00,64.47,33.97,1
2,15,54113,0,1,0,0,0,1,UY,0.26,0,2,1,0,1,0.00,0.00,19.88,79.45,1
0,19,6170,0,0,0,0,0,0,UY,,1,2,1,0,1,0.00,0.00,11.69,73.28,1
1,5,3310,0,0,0,0,0,0,UY,,1,1,1,0,1,505.80,0.00,60.12,113.15,1
0,10,3472,0,0,0,0,0,0,UY,,0,2,1,0,1,0.00,0.00,18.34,38.73,1
0,18,13980,4,0,0,0,4,0,UY,,1,1,1,0,3,0.00,0.00,99.06,10.10,1
0,10,2749,0,0,0,0,0,0,UY,,0,2,1,0,3,0.00,0.00,89.45,37.68,1
0,13,1517,0,0,0,0,0,0,UY,0.49,0,3,1,0,5,0.00,0.00,9.50,30.31,1
0,9,378,0,0,0,0,0,0,UY,0.70,0,1,1,0,3,0.00,0.00,30.02,22.93,1
0,2,2094,0,0,0,0,0,0,UY,,0,6,1,0,1,0.00,0.00,25.28,34.02,1
0,14,17593,0,0,0,0,0,0,UY,,0,2,1,0,4,0.00,0.00,5.25,35.54,1
0,10,,0,0,0,0,0,0,UY,0.56,2,6,6,0,1,0.00,0.00,49.38,36.43,1
0,8,313,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,7.60,67.99,1
0,9,4155,0,2,0.19,0,0,0,UY,0.61,1,1,1,0,1,0.00,0.00,38.47,47.05,1
0,3,48,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,18.97,"1,203.82",1
0,4,2874,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,38.26,512.88,1
0,4,1668,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,1.59,94.21,1
0,2,450,0,0,0,0,0,0,UY,,0,1,1,0,5,0.00,0.00,2.11,39.20,1
0,6,11241,0,0,0,0,0,0,UY,,2,1,1,0,1,0.00,0.00,7.29,179.58,1
0,10,3964,0,0,0,0,0,0,UY,0.54,0,3,1,0,5,0.00,0.00,10.62,15.65,1
0,15,15521,0,0,0,0,0,0,UY,,0,1,1,0,5,0.00,0.00,87.61,41.77,1
0,11,19040,0,0,0,0,0,0,UY,,2,2,1,0,4,0.00,0.00,24.10,104.63,1
0,3,8384,0,0,0,0,0,0,UY,,0,1,1,0,3,0.00,0.00,5.56,40.25,1
0,9,19576,0,0,0,0,0,0,UY,,0,1,1,0,5,0.00,0.00,88.37,70.61,1
0,16,23,4,0,0,0.005,4,0,UY,,0,1,1,0,1,0.00,0.00,96.19,73.22,1
0,10,8,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,68.75,340.21,1
0,13,1022,0,0,0,0,0,0,UY,0.54,0,3,1,0,1,0.00,0.00,25.19,120.33,1
0,17,37646,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,91.22,20.10,1
0,10,30032,0,0,0,0,0,0,UY,,0,2,1,0,4,0.00,0.00,2.16,21.52,1
0,12,1619,0,0,0,0,0,0,UY,0.68,2,2,2,0,4,0.00,0.00,28.29,18.27,1
0,4,6168,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,13.32,11.91,1
0,7,209500,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,14.10,50.67,1
2,13,1247,0,0,0,0,0,0,UY,,0,3,1,0,5,0.00,0.00,7.11,94.16,1
0,17,10077,0,0,0,0,0,0,UY,0.61,2,2,2,0,4,18.27,0.00,28.12,12.77,1
0,5,1530,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,10.04,207.27,1
0,14,278,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,24.77,26.07,1
0,6,,0,0,0,0,0,0,UY,,0,2,1,0,1,0.00,0.00,12.77,25.02,1
0,6,,0,0,0,0,0,0,UY,,0,2,1,0,1,0.00,0.00,12.77,43.86,1
0,13,,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,27.09,146.71,1
0,13,448607,0,0,0,0,0,0,UY,,2,2,2,0,3,0.00,0.00,20.77,20.36,1
0,12,12352,0,0,0,0,0,0,UY,0.49,2,2,2,0,3,20.36,0.00,27.45,21.72,1
0,12,5042,0,0,0,0,0,0,UY,0.50,2,2,2,0,3,42.08,0.00,25.20,15.34,1
0,7,,0,0,0,0,0,0,UY,0.52,0,1,1,0,1,0.00,0.00,39.28,11.46,1
0,8,,0,0,0,0,0,0,UY,0.50,0,1,1,0,1,0.00,0.00,42.39,22.82,1
0,16,24898,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,29.29,60.32,10.83,1
0,16,,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,41.17,93.48,1
0,10,262422,0,0,0,0,0,0,UY,0.56,0,1,1,0,1,0.00,0.00,60.28,149.07,1
0,15,20775,0,0,0,0,0,0,UY,,0,2,1,0,5,0.00,0.00,20.57,29.73,1
1,12,2907,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,27.12,145.98,1
2,13,2907,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,50.49,145.98,1
0,12,7624,0,0,0,0,0,0,UY,0.50,0,3,1,0,5,0.00,0.00,5.56,18.32,1
1,16,261999,1,1,0,0,0,1,UY,,1,1,1,0,3,43.90,0.00,7.71,758.88,1
0,12,17884,0,1,0,0,0,0,UY,,1,4,4,0,3,51.76,0.00,60.56,51.76,1
0,8,4302,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,24.37,62.76,1
0,5,4987,0,0,0,0,0,0,UY,,1,2,2,0,2,0.00,0.00,0.92,27.53,1
0,-1,,0,1,0.5,0,0,0,UY,,1,1,1,0,1,0.00,0.00,4.93,305.98,1
0,4,,0,1,0.5,0,0,0,UY,,1,1,1,0,1,0.00,0.00,2.48,84.84,1
0,9,2032,0,1,0.014,0,0,1,UY,,0,1,1,0,2,0.00,0.00,14.24,29.00,1
1,2,207,0,0,0,0,0,0,UY,,0,4,1,0,5,0.00,0.00,1.31,30.88,1
0,13,38136,0,0,0,0,0,0,UY,,1,3,3,0,1,0.00,0.00,11.97,39.20,1
3,5,5231,0,0,0,0,0,0,UY,0.69,0,2,1,0,4,0.00,0.00,84.71,107.25,1
1,5,87709,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,12.08,397.73,1
0,3,33,0,0,0,0,0,0,UY,,0,2,1,0,1,0.00,0.00,41.01,667.92,1
0,14,15596,0,2,0.031,0,0,0,UY,,0,1,1,0,3,0.00,0.00,4.88,18.27,1
0,14,8340,0,0,0,0,0,0,UY,,0,2,1,0,3,0.00,0.00,21.97,136.03,1
1,8,8292,0,0,0,0,0,0,UY,0.71,0,1,1,0,1,0.00,0.00,19.62,100.44,1
1,8,8781,0,0,0,0,0,0,UY,0.71,0,1,1,0,1,0.00,0.00,17.98,15.10,1
0,16,29680,0,0,0,0,0,0,UY,0.25,0,5,1,0,3,0.00,0.00,98.90,23.57,1
0,6,63484,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,89.15,147.30,1
2,7,16950,0,0,0,0,0,0,UY,,0,1,1,0,1,0.00,0.00,45.07,414.99,1
0,9,54423,0,0,0,0,0,0,UY,0.36,0,4,1,0,2,0.00,0.00,30.68,22.93,1
0,6,444563,1,0,0,0,1,0,UY,0.80,2,2,2,0,2,91.33,0.00,5.68,40.25,1
0,12,9973,0,0,0,0,0,0,UY,0.55,1,1,1,0,1,147.30,0.00,89.01,47.05,1
0,7,19824,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,6.99,62.65,1
1,19,4806,0,0,0,0,0,0,UY,0.51,0,1,1,0,1,0.00,0.00,24.20,59.09,1
0,12,3031,0,0,0,0,0,0,UY,0.76,0,3,1,0,4,0.00,0.00,0.86,25.65,1
0,3,651,1,0,0,0,1,0,UY,0.59,0,3,1,0,1,0.00,0.00,21.84,78.46,1
0,13,3034,0,0,0,0,0,0,UY,0.75,0,3,1,0,4,0.00,0.00,0.85,25.65,1
0,16,1122,0,0,0,0,0,0,UY,0.59,0,2,1,0,3,0.00,0.00,26.40,44.44,1
0,10,5777,0,0,0,0,0,0,UY,,1,1,1,0,2,0.00,0.00,93.35,77.26,1
0,15,50279,0,0,0,0,0,0,UY,,0,2,1,0,2,0.00,0.00,83.45,45.01,1
0,10,1003,0,0,0,0,0,0,UY,,1,2,2,0,1,0.00,0.00,31.48,146.50,1
0,6,,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,23.37,39.95,1
4,19,54483,1,0,0,0,0,0,UY,0.61,1,1,2,0,1,0.00,0.00,64.60,38.37,1
4,16,6605,1,0,0,0,0,0,UY,0.67,1,1,2,0,1,38.37,0.00,66.43,19.62,1
0,10,354726,0,0,0,0,0,0,UY,,1,1,1,0,2,0.00,0.00,15.04,88.87,1
0,3,137,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,-1.00,261.65,1
0,10,2365,0,0,0,0,0,0,UY,,0,2,1,0,3,0.00,0.00,-1.00,151.79,1
0,6,,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,32.50,397.63,1
0,7,4448,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,-1.00,91.60,1
0,3,67,0,0,0,0,0,0,UY,,0,1,1,0,3,0.00,0.00,38.79,30.88,1
0,8,50285,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,22.38,52.69,1
0,19,9640,1,1,0.014,0,1,0,UY,,0,3,1,0,3,0.00,0.00,84.78,20.36,1
0,4,3584,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,40.99,45.72,1
0,19,934,0,2,0.02,0,0,0,UY,0.71,0,1,1,0,3,0.00,0.00,0.17,19.31,1
0,6,126,3,0,0,0.033,3,0,UY,,1,1,1,0,1,0.00,0.00,76.04,319.22,1
0,2,6806,0,0,0,0,0,0,UY,0.73,0,1,1,0,2,0.00,0.00,93.06,88.93,1
0,1,936,0,2,0.02,0,0,0,UY,0.93,0,1,1,0,3,0.00,0.00,0.17,19.31,1
0,6,40056,0,0,0,0,0,0,UY,,1,1,1,0,1,0.00,0.00,47.30,54.91,1
0,19,1343,0,0,0,0,0,0,UY,0.59,3,4,3,0,4,31.04,0.00,-1.00,8.85,1
0,13,29739,0,0,0,0,0,0,UY,,0,2,1,0,3,0.00,0.00,-1.00,30.75,1
1,15,22154,0,0,0,0,0,0,MX,,0,1,1,0,1,0.00,0.00,88.23,"1,465.47",1
0,4,5622,0,0,0,0,0,0,MX,0.74,0,1,1,0,1,0.00,0.00,9.37,137.99,1
0,6,82,0,0,0,0,0,0,MX,,0,1,1,0,1,0.00,0.00,21.17,209.10,1
0,12,20737,0,0,0,0,0,0,MX,0.71,2,5,5,0,4,339.91,0.00,12.24,33.24,1
0,9,15434,0,0,0,0,0,0,MX,,1,1,1,0,2,0.00,50.68,90.57,25.39,1
0,7,,0,1,0.028,0,0,0,MX,0.76,0,1,1,0,1,0.00,0.00,3.62,163.77,1
1,13,5639,0,1,0.028,0,0,0,MX,0.66,0,1,1,0,1,0.00,0.00,7.92,146.45,1
0,8,4127,0,0,0,0,0,0,MX,,0,1,1,0,2,0.00,0.00,86.11,37.59,1
0,5,1590,0,0,0,0,0,0,MX,,0,2,1,0,1,0.00,0.00,22.00,114.35,1
0,7,9170,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,19.83,55.08,1
0,6,7190,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,36.51,67.82,1
0,11,10896,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,56.75,52.16,1
0,6,3,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,92.75,67.88,1
0,11,8472,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,57.73,64.69,1
0,8,355093,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,34.63,364.91,1
0,16,8638,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,42.15,77.42,1
0,13,,0,0,0,0,0,0,US,,0,1,1,0,2,0.00,0.00,29.83,93.27,1
0,16,1479,0,4,0,0,0,0,US,,1,1,1,0,3,0.00,0.00,8.92,41.72,1
0,3,14847,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,-1.00,79.64,1
1,6,,0,0,0,0,0,0,US,,0,2,1,0,4,0.00,0.00,6.87,59.48,1
2,11,17197,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,94.07,249.52,1
1,6,13120,0,0,0,0,0,0,US,,1,1,1,0,3,0.00,0.00,9.95,179.61,1
0,9,175,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,34.99,24.63,1
0,14,355768,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,-1.00,99.15,1
0,7,394,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,41.15,9.40,1
2,8,4,0,0,0,0,0,0,US,,0,3,1,0,3,0.00,0.00,45.29,332.04,1
0,7,,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,27.45,62.60,1
3,14,2374,0,3,0.012,0,0,3,US,0.59,0,3,1,0,5,0.00,0.00,43.87,93.93,1
0,9,1861,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,51.46,396.82,1
1,5,11259,2,0,0,0.104,0,0,US,,1,1,1,0,1,0.00,0.00,-1.00,102.81,1
0,6,3855,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,-1.00,36.50,1
0,4,1049,0,0,0,0,0,0,US,,0,2,1,0,1,0.00,0.00,14.66,10.49,1
1,12,11900,0,0,0,0,0,0,US,,0,1,1,0,2,0.00,0.00,-1.00,75.50,1
0,8,47405,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,24.47,26.47,1
3,18,1009,0,1,0.036,0,0,1,US,0.58,0,3,1,0,5,0.00,0.00,78.63,67.82,1
0,16,236,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,57.27,37.02,1
0,17,4457,0,0,0,0,0,0,US,0.65,2,3,3,0,4,244.51,0.00,15.05,57.43,1
0,10,56768,0,0,0,0,0,0,US,,2,3,2,0,2,0.00,136.45,33.91,87.72,1
0,8,10710,0,0,0,0,0,0,US,,1,1,1,0,2,0.00,0.00,9.41,112.73,1
1,5,87223,0,0,0,0,0,0,US,,0,4,1,0,1,0.00,0.00,38.63,954.97,1
0,14,9898,1,0,0,0,1,0,US,,1,2,1,0,4,0.00,0.00,96.30,40.67,1
0,1,20784,0,1,1,0,0,0,US,,1,1,1,0,2,0.00,0.00,-1.00,74.40,1
0,12,24,0,0,0,0,0,0,US,,0,2,1,0,1,0.00,0.00,-1.00,200.30,1
0,15,1849,0,0,0,0,0,0,US,,2,1,1,0,1,0.00,0.00,6.37,46.47,1
0,13,260242,0,0,0,0,0,0,US,,1,1,1,0,2,0.00,0.00,8.60,46.94,1
2,13,408,0,0,0,0,0,0,US,,0,1,1,0,2,0.00,0.00,27.31,83.28,1
2,15,304,0,0,0,0,0,0,US,,0,1,1,0,2,0.00,0.00,37.59,37.28,1
0,7,3432,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,50.40,83.54,1
0,10,43,0,0,0,0,0,0,US,,0,1,1,0,4,0.00,0.00,44.84,20.49,1
0,5,2433,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,-1.00,43.08,1
0,14,,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,31.82,112.10,1
0,11,2150,8,0,0,0.034,0,0,US,,1,2,2,0,1,0.00,0.00,32.87,52.16,1
0,9,1664,0,0,0,0,0,0,US,0.82,0,3,1,0,5,0.00,0.00,6.76,26.00,1
1,12,25022,0,4,0,0,0,0,US,,0,2,1,0,1,0.00,0.00,14.40,276.62,1
0,3,111,0,6,0.667,0,0,3,US,,1,1,1,0,1,0.00,0.00,-1.00,146.14,1
0,1,,0,0,0,0,0,0,US,,0,2,1,0,1,0.00,0.00,7.71,333.64,1
2,7,9393,0,1,0,0,0,0,US,0.41,0,2,1,0,1,0.00,0.00,27.66,151.36,1
0,1,1346,0,0,0,0,0,0,US,,1,3,1,0,5,0.00,0.00,5.83,15.61,1
0,5,2585,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,13.35,207.13,1
0,3,107441,2,0,0,0.033,0,0,US,,1,1,1,1,1,0.00,0.00,6.94,19.15,1
0,14,2370,0,4,0.002,0,0,0,US,,1,1,1,0,1,0.00,0.00,30.50,35.29,1
0,5,1517,1,0,0,0.25,0,0,US,0.76,1,3,1,0,1,0.00,0.00,7.94,83.23,1
0,11,23254,0,0,0,0,0,0,US,,0,3,1,0,2,0.00,0.00,12.85,30.71,1
0,11,3350,0,0,0,0,0,0,US,0.61,1,1,1,0,1,0.00,357.53,8.11,24.88,1
0,6,29958,0,0,0,0,0,0,US,0.60,0,3,1,0,2,0.00,0.00,16.77,24.92,1
1,7,61,0,0,0,0,0,0,US,,1,1,1,0,3,0.00,0.00,67.28,296.42,1
0,9,24699,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,16.25,51.53,1
0,-1,,0,2,0.008,0,0,1,US,,0,1,1,0,1,0.00,0.00,6.21,26.96,1
0,5,5902,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,-1.00,10.88,1
0,6,,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,12.27,29.62,1
0,11,,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,17.69,111.39,1
0,14,,0,0,0,0,0,0,US,,0,2,1,0,1,0.00,0.00,13.40,53.82,1
0,8,6239,27,0,0,0,15,0,US,,1,1,3,0,2,0.00,0.00,96.16,57.78,1
0,7,6098,0,0,0,0,0,0,US,0.60,0,2,1,0,1,0.00,0.00,16.31,54.08,1
0,9,519,0,0,0,0,0,0,US,0.63,3,3,1,0,5,0.00,0.00,46.07,44.24,1
1,9,5992,0,1,0.017,0,0,0,US,,1,1,1,0,1,0.00,0.00,75.17,291.27,1
0,4,396,0,0,0,0,0,0,US,0.74,3,3,1,0,5,44.24,0.00,44.75,44.24,1
0,12,356798,0,4,0.001,0,0,0,US,,1,1,1,0,3,47.42,0.00,12.93,24.98,1
0,15,1812,0,0,0,0,0,0,US,0.71,2,4,4,0,4,301.94,0.00,13.19,41.59,1
0,5,659,0,0,0,0,0,0,US,,0,1,1,0,1,0.00,0.00,31.26,567.23,1
0,8,,0,1,0,0,0,0,US,0.51,0,3,1,0,4,0.00,0.00,15.50,37.94,1
0,10,20865,0,1,0.003,0,0,0,US,0.60,0,1,1,0,1,0.00,0.00,60.35,39.77,1
1,13,65101,0,0,0,0,0,0,US,0.49,2,3,3,0,2,98.12,0.00,75.66,25.95,1
0,5,41859,0,0,0,0,0,0,US,0.70,0,2,1,0,3,0.00,0.00,31.99,27.53,1
0,16,55171,0,0,0,0,0,0,US,0.48,0,2,1,0,3,0.00,0.00,27.39,36.38,1
0,4,321,0,0,0,0,0,0,US,,1,1,1,0,1,0.00,0.00,6.49,46.79,1
0,9,,0,0,0,0,0,0,US,,1,2,1,0,2,0.00,0.00,26.00,164.63,1
0,9,4799,0,0,0,0,0,0,US,,1,2,2,0,1,0.00,0.00,35.37,16.40,1
0,13,6188,3,0,0,0,0,0,US,,1,1,1,1,2,0.00,0.00,90.34,40.13,1
